Survey,Site,Occasion,tvar
145,CAB_UPS,10,0.081973623
146,CAB_DNS,10,0.081973623
147,PSB_UPS,10,0.082793508
148,PSB_DNS,10,0.082793508
149,GUN_UPS,10,0.084463501
150,GUN_DNS,10,0.084463501
151,KFB_UPS,11,0.101434601
152,KFS_MID,11,0.101434601
153,KFS_DNS,11,0.101434601
154,MIB_UPS,11,0.095852737
155,MIB_MID,11,0.095852737
156,MIB_DNS,11,0.095852737
157,FUB_UPS,11,0.095860207
158,FUB_MID,11,0.095860207
159,FUB_DNS,11,0.095860207
160,CAB_UPS,11,0.095860207
161,CAB_DNS,11,0.095860207
162,PSB_UPS,11,0.095852737
163,PSB_DNS,11,0.095852737
164,GUN_UPS,11,0.101434601
165,GUN_DNS,11,0.101434601
